Noun,Verb,Adjective,Opposite Adjective,Adverb,Opposite Adverb,Difficulty
ability,able,,,ably,unably,Medium
academy,,academic,,academically,,Medium
acceptability,accept,acceptable,,acceptably,,Medium
acceptance,accept,,,acceptably,,Medium
accident,,accidental,,accidentally,,Medium
accompanement,accompany,,,,,Easy
accusal,,accusable ,,,,Easy
achievement,achieve,achievable,,achievably,,Medium
acquintance,acquaint,acquainted,unacquainted,,,Medium
action,act,active,inactive,actively,inactively,Hard
activity,act,active,inactive,actively,inactively,Hard
addiction,addict,"addictive, addicted",,,,Medium
addition,add,,,,,Easy
adequacy,,adequate,inadequate,adequately,inadequately,Hard
admiration,admire,"admired, admiring",,,,Medium
admission,admit,,,,,Easy
admittance,admit,,,,,Easy
adventure,,adventurous,,,,Easy
advertisement,advertise,,,,,Easy
advice,advise,advisable,,,,Medium
advisability,,advisable,,,,Easy
agreement,agree,agreeable,disagreeable,,,Medium
aim,aim,aimful,aimless,,aimlessly,Hard
allowance,allow,,,,,Easy
amazement,amaze,amazing,,amazingly,,Medium
ambition,,ambitious,,ambitiously,,Medium
America,,american,,,,Easy
amusement,amuse,amusing,,amusimgly,,Medium
analysis,analyse,,,,,Easy
anger,,angry,,angrily,,Medium
announcement,announce,,,,,Easy
annoyance,annoy,annoying,,,,Medium
anxiety,,anxious,,anxiously,,Medium
apology,apologise,apologizing,,apologizingly,,Medium
appearance,appear,,,,,Easy
application,apply,,,,,Easy
appointment,appoint,,,,,Easy
approval,aprove,aproving,disaproving,aprovingly,disaprovingly,Hard
argiculture,,agricultural,,,,Easy
argument,argue,,,,,Easy
arrangement,arrange,,,,,Easy
art,,artistic,,artistically,,Medium
assistance,assist,,,,,Easy
assumption,,,,,,Easy
astonishment,astonish,astonishing,,,,Medium
attendance,attend,,,,,Easy
attraction,attract,attractive,,,,Medium
Australia,,australian,,,,Easy
automation,,automatic,,automatically,,Medium
avoidance,avoid,,,,,Easy
bearing,bear,,unbearable,,,Medium
beauty,beautify,beautiful,,beautifully,,Medium
beginner,begin,,,,,Easy
behaviour,behave,,,,,Easy
belief,believe,believable,unbelievable,,,Medium
benefit,benefit,beneficial,,,,Medium
blackness,blacken,black,,,,Medium
blood,bleed,bloody,,,,Medium
boredom,,"boring, bored",,,,Easy
bravery,,brave,,bravely,,Medium
breath,breathe,,,,,Easy
brightness,brighten,bright,,brightly,,Medium
builder,build,,,,,Easy
building,build,,,,,Easy
burglary,burgle,,,,,Easy
calculator,calculate,,,,,Easy
caution,,cautious,uncautious,cautiously,uncautiously,Hard
celebration,celebrate,,,,,Easy
centre,,central,,,,Easy
change,change,changeable,,,,Medium
character,characterise,characteristic,,,,Medium
charm,charm,charming,,charmingly,,Medium
chemistry,,chemical,,,,Easy
child,,childish,,childishly,,Medium
choice,choose,,,,,Easy
classification,classify,,,,,Easy
climate,,climatic,,,,Easy
cloud,,cloudy,,,,Easy
co-operation,co-operate,,,,,Easy
collection,collect,collective,,,,Medium
colour,colour,colourful,colourless,colourfully,,Hard
combination,combine,,,,,Easy
comedy,,comical,,comically,,Medium
comfort,comfort,comfortable,uncomfortable,comfortably,,Hard
commerce,,commercial,,commercially,,Medium
commitment,commit,,,,,Easy
comparison,compare,,,,,Easy
competition,compete,,,,,Easy
complaint,complain,,,,,Easy
completion,complete,,,,,Easy
conclusion,conclude,,,,,Easy
confidence,,confident,,,,Easy
connection,connect,connected,,,,Medium
consciousness,,conscious,unconscious,consciously,unconsciously,Hard
conservation,conserve,,,,,Easy
consideration,consider,considerate,,considerately,,Medium
construction,construct,,,,,Easy
consumption,,,,,,Easy
container,contain,,,,,Easy
contribution,contribute,,,,,Easy
convention,,,,,,Easy
cooker,cook,cookery,,,,Medium
correction,correct,correct,incorrect,correctly,incorrectly,Hard
correspondense,correspond,,,,,Easy
courage,,courageous,,courageously,,Medium
creation,create,creative,,creatively,,Medium
creativity,create,creative,,creatively,,Medium
crime,,criminal,,,,Easy
crisps,crisp,crispy,,,,Medium
criticism,criticise,critical,,,,Medium
culture,,cultural,,culturally,,Medium
cure,cure,,,,,Easy
curiosity,,curious,,curiously,,Medium
cyclist,cycle,,,,,Easy
danger,,dangerous,,dangerously,,Medium
darkness,darken,dark,,,,Medium
deafness,deafen,deaf,,deafly,,Medium
death,die,dead,,,,Medium
decision,decide,decisive,indecisive,decisively,indecisively,Hard
decoration,decorate,"decorative, decorated",,,,Medium
defence,defend,,,,,Easy
delight,delight,delightful,,delightfully,,Medium
delivery,deliver,,,,,Easy
democrat,,democratic,,,,Easy
demonstration,demonstrate,,,,,Easy
denial,deny,,,,,Easy
departure,depart,,,,,Easy
dependence,depend,dependent,independent,dependently,independently,Hard
depression,depress,depressive,,depressively,,Medium
depth,deepen,deep,,deeply,,Medium
description,describe,descriptive,,,,Medium
design,design,,,,,Easy
desire,desire,desirable,,,,Medium
desperation,desperate,desperately,,,,Medium
destruction,destruct,destructive,,destructively,,Medium
development,develop,"developed, developing",,,,Medium
dictation,dictate,,,,,Easy
difference,differ,different,indifferent,differently,indifferently,Hard
difficulty,,difficult,,,,Easy
diplomacy,,diplomatic,,diplomatically,,Medium
direction,direct,,,directly,,Medium
disaster,,disastrous,,,,Easy
discovery,discover,,,,,Easy
discussion,discuss,discussable,,,,Medium
distance,,distant,,distantly,,Medium
disturbance,disturb,"disturbed, disturbing",,,,Medium
diversity,,diverse,,diversly,,Medium
dominance,,dominant,,,,Easy
doubt,doubt,doubtful,"doubtless, undoubtful",doubtfully,undoubtfully,Hard
